length,hostname_length,Special_Char_Count,HTTPS,urlDigits_ratio,hostnameDigits_ratio
131,32,13,1,0.17557251908396945,0.0
299,39,54,0,0.17391304347826086,0.0
66,18,11,0,0.15151515151515152,0.0
66,18,14,0,0.4393939393939394,0.05555555555555555
66,31,11,1,0.0,0.0
63,28,11,0,0.0,0.0
38,21,9,0,0.0,0.0
114,34,15,0,0.2894736842105263,0.0
263,187,29,0,0.12927756653992395,0.15508021390374332
63,25,10,0,0.07936507936507936,0.0
78,20,11,0,0.08974358974358974,0.0
267,221,22,1,0.14606741573033707,0.15384615384615385
65,30,11,0,0.0,0.0
57,26,11,1,0.0,0.0
46,34,6,1,0.0,0.0
43,26,8,1,0.0,0.0
85,19,15,0,0.023529411764705882,0.0
30,30,7,1,0.23333333333333334,0.23333333333333334
71,24,12,1,0.19718309859154928,0.0
52,31,8,0,0.0,0.0
125,58,19,0,0.136,0.0
33,30,7,1,0.0,0.0
70,22,12,0,0.07142857142857142,0.0
260,219,21,1,0.17307692307692307,0.182648401826484
106,16,20,0,0.0,0.0
45,45,6,0,0.0,0.0
76,29,14,0,0.07894736842105263,0.0
35,35,7,0,0.08571428571428572,0.08571428571428572
48,27,9,0,0.020833333333333332,0.0
64,38,12,0,0.0,0.0
113,29,19,0,0.0,0.0
45,23,7,1,0.044444444444444446,0.043478260869565216
62,20,11,0,0.016129032258064516,0.0
41,26,7,1,0.12195121951219512,0.0
32,32,6,0,0.03125,0.03125
54,30,9,1,0.0,0.0
69,24,12,0,0.08695652173913043,0.0
80,22,12,1,0.275,0.0
52,32,7,0,0.0,0.0
32,27,7,1,0.0,0.0
243,33,42,0,0.2551440329218107,0.0
79,56,10,1,0.0,0.0
45,39,8,0,0.2,0.23076923076923078
67,32,14,0,0.0,0.0
73,25,11,0,0.0958904109589041,0.0
48,19,11,0,0.041666666666666664,0.0
49,26,10,0,0.0,0.0
67,22,10,0,0.0,0.0
49,22,9,0,0.0,0.0
106,27,13,0,0.1509433962264151,0.0
53,29,9,1,0.0,0.0
48,25,9,1,0.0,0.0
52,22,9,0,0.0,0.0
64,27,12,1,0.140625,0.0
56,24,10,0,0.0,0.0
115,50,16,0,0.17391304347826086,0.0
75,33,12,0,0.08,0.0
42,26,8,1,0.07142857142857142,0.0
40,34,8,0,0.025,0.0
42,21,9,0,0.047619047619047616,0.0
52,23,10,0,0.09615384615384616,0.0
41,20,8,0,0.04878048780487805,0.1
45,34,7,0,0.0,0.0
52,24,8,0,0.19230769230769232,0.0
75,64,29,0,0.0,0.0
65,34,10,0,0.0,0.0
33,27,5,1,0.0,0.0
39,16,9,1,0.1282051282051282,0.0
32,24,6,0,0.0,0.0
123,48,19,1,0.06504065040650407,0.0
58,29,9,0,0.0,0.0
50,22,10,0,0.02,0.0
41,24,9,0,0.0975609756097561,0.0
124,55,19,1,0.12096774193548387,0.0
90,31,12,0,0.05555555555555555,0.0
121,27,18,0,0.0,0.0
45,20,10,0,0.0,0.0
64,25,7,0,0.34375,0.0
94,50,13,0,0.1276595744680851,0.06
57,35,8,1,0.0,0.0
49,28,10,0,0.0,0.0
18,13,5,0,0.1111111111111111,0.0
85,39,15,1,0.03529411764705882,0.02564102564102564
90,25,15,0,0.05555555555555555,0.0
45,32,8,0,0.0,0.0
56,29,12,0,0.03571428571428571,0.0
70,25,10,1,0.1,0.0
46,23,12,0,0.08695652173913043,0.0
103,29,14,0,0.0,0.0
25,25,7,1,0.2,0.2
37,38,5,0,0.02702702702702703,0.02631578947368421
98,22,20,1,0.10204081632653061,0.0
59,24,10,1,0.0,0.0
68,29,12,0,0.0,0.0
43,21,8,1,0.0,0.0
68,26,13,0,0.10294117647058823,0.0
32,33,5,0,0.03125,0.030303030303030304
52,24,9,0,0.057692307692307696,0.041666666666666664
69,31,12,0,0.11594202898550725,0.0
95,23,19,0,0.0,0.0
48,25,8,1,0.041666666666666664,0.0
49,39,9,0,0.20408163265306123,0.2564102564102564
40,23,10,0,0.0,0.0
246,76,24,0,0.2032520325203252,0.3815789473684211
80,33,13,0,0.05,0.0
59,23,10,1,0.13559322033898305,0.0
64,31,10,0,0.0,0.0
74,26,11,0,0.013513513513513514,0.0
24,19,5,1,0.08333333333333333,0.0
39,29,7,0,0.07692307692307693,0.10344827586206896
56,25,8,1,0.0,0.0
70,23,12,0,0.0,0.0
70,37,10,0,0.0,0.0
80,45,10,0,0.0,0.0
132,39,22,1,0.18181818181818182,0.0
54,26,8,0,0.0,0.0
58,32,8,0,0.0,0.0
47,20,10,0,0.10638297872340426,0.0
78,37,13,0,0.01282051282051282,0.02702702702702703
57,26,11,1,0.03508771929824561,0.0
123,55,18,1,0.10569105691056911,0.0
70,32,14,0,0.24285714285714285,0.0
47,47,7,1,0.0,0.0
21,18,7,0,0.0,0.0
36,21,9,1,0.027777777777777776,0.0
27,22,6,0,0.0,0.0
129,42,19,1,0.03875968992248062,0.0
94,28,18,0,0.07446808510638298,0.0
117,20,20,0,0.0,0.0
44,28,7,0,0.0,0.0
51,24,10,1,0.13725490196078433,0.0
84,22,13,1,0.07142857142857142,0.0
60,29,10,1,0.0,0.0
63,18,8,0,0.0,0.0
114,19,18,0,0.0,0.0
45,31,9,0,0.0,0.0
26,16,6,1,0.07692307692307693,0.0
45,25,7,0,0.0,0.0
404,19,15,0,0.12128712871287128,0.0
74,23,10,0,0.16216216216216217,0.0
132,25,10,1,0.06060606060606061,0.0
197,24,15,0,0.36548223350253806,0.0
57,52,11,0,0.0,0.0
90,25,16,0,0.08888888888888889,0.0
82,32,14,1,0.24390243902439024,0.0
20,21,4,0,0.1,0.09523809523809523
82,40,13,1,0.07317073170731707,0.0
56,27,8,0,0.0,0.0
380,40,15,0,0.12631578947368421,0.05
40,23,8,1,0.0,0.0
32,32,8,0,0.21875,0.21875
44,21,10,0,0.09090909090909091,0.0
39,40,7,0,0.0,0.0
907,38,40,1,0.175303197353914,0.0
68,24,9,0,0.29411764705882354,0.0
100,29,16,0,0.0,0.0
153,21,28,1,0.24836601307189543,0.0
67,26,13,0,0.1044776119402985,0.0
77,23,15,1,0.07792207792207792,0.0
105,40,11,0,0.2857142857142857,0.35
48,24,10,1,0.0,0.0
51,29,11,0,0.0,0.0
68,17,15,0,0.014705882352941176,0.058823529411764705
81,22,14,0,0.0,0.0
46,22,8,0,0.0,0.0
68,26,15,0,0.0,0.0
43,34,7,1,0.0,0.0
43,43,8,0,0.0,0.0
48,24,8,0,0.0,0.0
147,39,23,1,0.14285714285714285,0.0
29,21,7,0,0.034482758620689655,0.047619047619047616
35,22,7,1,0.0,0.0
44,29,9,0,0.022727272727272728,0.0
55,23,10,0,0.0,0.0
56,17,10,0,0.0,0.0
20,17,5,0,0.05,0.0
31,23,7,0,0.0,0.0
38,22,7,1,0.0,0.0
34,23,7,1,0.08823529411764706,0.043478260869565216
131,28,15,1,0.11450381679389313,0.0
38,23,10,0,0.3157894736842105,0.5217391304347826
114,19,12,1,0.06140350877192982,0.0
92,30,12,0,0.15217391304347827,0.0
66,55,10,0,0.0,0.0
87,32,9,0,0.12643678160919541,0.0
75,75,13,1,0.05333333333333334,0.05333333333333334
112,79,18,0,0.16071428571428573,0.1518987341772152
51,29,8,0,0.0,0.0
123,25,20,0,0.0,0.0
98,27,12,0,0.25510204081632654,0.0
55,28,11,0,0.0,0.0
33,34,7,0,0.030303030303030304,0.029411764705882353
66,38,11,0,0.030303030303030304,0.0
62,22,13,1,0.12903225806451613,0.0
76,25,13,0,0.0,0.0
80,30,11,0,0.3,0.0
98,20,15,0,0.05102040816326531,0.0
415,24,8,0,0.12289156626506025,0.0
56,47,11,1,0.10714285714285714,0.1276595744680851
48,35,9,0,0.041666666666666664,0.02857142857142857
84,15,20,1,0.17857142857142858,0.0
136,22,23,1,0.03676470588235294,0.0
63,20,13,0,0.12698412698412698,0.0
87,27,11,1,0.022988505747126436,0.0
68,31,7,1,0.3382352941176471,0.0
124,27,15,0,0.13709677419354838,0.0
84,19,15,1,0.05952380952380952,0.0
156,23,19,0,0.16025641025641027,0.0
37,18,8,0,0.0,0.0
45,29,8,0,0.022222222222222223,0.0
163,27,25,0,0.012269938650306749,0.0
57,20,10,0,0.0,0.0
328,47,37,1,0.25609756097560976,0.0
66,22,9,0,0.0,0.0
76,25,11,1,0.0,0.0
50,32,10,0,0.04,0.0
31,29,5,1,0.0,0.0
49,26,11,0,0.12244897959183673,0.0
55,24,9,0,0.0,0.0
61,31,10,0,0.03278688524590164,0.0
58,37,9,0,0.0,0.0
36,22,7,0,0.0,0.0
66,26,12,0,0.0,0.0
44,30,9,0,0.022727272727272728,0.0
54,20,7,1,0.16666666666666666,0.0
50,24,10,0,0.0,0.0
125,58,19,0,0.088,0.0
53,28,9,0,0.05660377358490566,0.0
35,23,8,0,0.0,0.0
75,30,9,0,0.0,0.0
108,56,22,0,0.009259259259259259,0.0
63,30,7,0,0.36507936507936506,0.2
